file,class,method,variable,usage
/Users/subashkumarn/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/GelenUrun.java,Siniflar.GelenUrun,getGelisTarih/0,gelisTarih,1
/Users/subashkumarn/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/GelenUrun.java,Siniflar.GelenUrun,getId/0,id,1
/Users/subashkumarn/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/GelenUrun.java,Siniflar.GelenUrun,getPersonelId/0,personelId,1
/Users/subashkumarn/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/GelenUrun.java,Siniflar.GelenUrun,getUreticiId/0,ureticiId,1
/Users/subashkumarn/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/GelenUrun.java,Siniflar.GelenUrun,"GelenUrun/6[int,int,int,long,int,int]",ureticiId,3
/Users/subashkumarn/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/GelenUrun.java,Siniflar.GelenUrun,"GelenUrun/6[int,int,int,long,int,int]",urunId,3
/Users/subashkumarn/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/GelenUrun.java,Siniflar.GelenUrun,"GelenUrun/6[int,int,int,long,int,int]",koliToplam,3
/Users/subashkumarn/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/GelenUrun.java,Siniflar.GelenUrun,"GelenUrun/6[int,int,int,long,int,int]",gelisTarih,3
/Users/subashkumarn/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/GelenUrun.java,Siniflar.GelenUrun,"GelenUrun/6[int,int,int,long,int,int]",id,3
/Users/subashkumarn/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/GelenUrun.java,Siniflar.GelenUrun,"GelenUrun/6[int,int,int,long,int,int]",personelId,3
/Users/subashkumarn/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/GelenUrun.java,Siniflar.GelenUrun,getUrunId/0,urunId,1
