file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"bufferMagazaEkle/3[java.lang.String,java.lang.String,java.lang.String]",FALSE,45,0,1,1,0,1,0,3,1,0,3,0,0,0,0,0,0,0,11,0,0,2,0,0,0,0,14,9,0,FALSE
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"bufferBaslat/2[long,java.lang.String]",FALSE,23,1,10,9,1,1,1,3,1,0,2,1,0,0,0,0,0,0,13,0,0,2,0,0,0,0,24,9,0,FALSE
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"bufferUreticiEkle/3[java.lang.String,java.lang.String,java.lang.String]",FALSE,35,0,1,1,0,1,0,3,1,0,3,0,0,0,0,0,0,0,11,0,0,2,0,0,0,0,14,9,0,FALSE
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,bufferBitir/0,FALSE,93,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,9,0,FALSE
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"araTarihPDF/4[java.util.ArrayList<java.lang.Object[]>,long,long,long]",FALSE,238,2,4,2,2,2,2,10,1,1,4,2,1,1,1,0,0,0,36,6,5,5,1,0,0,0,26,9,0,FALSE
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"araUreticiPDF/4[java.util.ArrayList<java.lang.Object[]>,long,java.lang.String,java.lang.String]",FALSE,157,1,3,2,1,2,1,10,1,1,4,1,1,1,1,0,0,0,24,4,5,5,1,0,0,0,28,9,0,FALSE
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,bufferKolilerILK/1[java.lang.String],FALSE,69,0,1,1,0,1,0,3,1,0,1,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,18,9,0,FALSE
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,bufferUrunlerILK/1[java.lang.String],FALSE,55,0,2,2,0,1,0,3,1,0,1,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,17,9,0,FALSE
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"araMagazaPDF/4[java.util.ArrayList<java.lang.Object[]>,long,java.lang.String,java.lang.String]",FALSE,184,1,3,2,1,2,1,10,1,1,4,1,1,1,1,0,0,0,24,4,5,5,1,0,0,0,27,9,0,FALSE
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"istatistiklerPDF/2[long,java.lang.Object[][]]",FALSE,273,1,3,2,1,2,1,10,1,2,2,1,1,1,1,0,0,0,9,2,5,2,1,0,0,0,16,9,0,FALSE
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"araUrunPDF/3[java.util.ArrayList<java.lang.Object[]>,long,java.lang.String]",FALSE,130,1,3,2,1,2,2,10,1,1,3,2,1,1,1,0,0,0,24,4,5,5,1,0,0,0,26,9,0,FALSE
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"bufferUrunler/2[java.lang.String,int]",FALSE,61,0,2,2,0,1,0,3,1,0,2,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,6,9,0,FALSE
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,bufferUrunlerSON/1[int],FALSE,65,0,2,2,0,1,0,3,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,13,9,0,FALSE
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"bufferKoliler/5[java.lang.String,int,int,int,int]",FALSE,79,0,1,1,0,1,0,3,1,0,5,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,10,9,0,FALSE
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,bufferKolilerSON/0,FALSE,89,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,9,0,FALSE
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"pdfYap/3[java.lang.String,java.lang.String,long]",FALSE,14,1,16,15,1,1,2,4,0,1,3,2,0,0,0,0,0,0,4,0,1,1,0,0,0,0,22,9,0,FALSE
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"urunSayimPDF/6[java.lang.Object[][],long,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",FALSE,102,1,3,2,1,2,1,10,1,1,6,1,1,1,1,0,0,0,25,3,5,5,1,0,0,0,33,9,0,FALSE
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"araPersonelPDF/4[java.util.ArrayList<java.lang.Object[]>,long,java.lang.String,java.lang.String]",FALSE,211,1,3,2,1,2,1,10,1,1,4,1,1,1,1,0,0,0,24,4,5,5,1,0,0,0,29,9,0,FALSE
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/GelenUrun.java,Siniflar.GelenUrun,getGelisTarih/0,FALSE,35,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,FALSE
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/GelenUrun.java,Siniflar.GelenUrun,getId/0,FALSE,23,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,FALSE
