file,class,method,variable,usage
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"bufferMagazaEkle/3[java.lang.String,java.lang.String,java.lang.String]",telefon,1
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"bufferMagazaEkle/3[java.lang.String,java.lang.String,java.lang.String]",adres,1
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"bufferMagazaEkle/3[java.lang.String,java.lang.String,java.lang.String]",firma,1
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"bufferBaslat/2[long,java.lang.String]",unixTime,1
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"bufferBaslat/2[long,java.lang.String]",baslik,2
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"bufferUreticiEkle/3[java.lang.String,java.lang.String,java.lang.String]",telefon,1
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"bufferUreticiEkle/3[java.lang.String,java.lang.String,java.lang.String]",adres,1
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"bufferUreticiEkle/3[java.lang.String,java.lang.String,java.lang.String]",firma,1
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"araTarihPDF/4[java.util.ArrayList<java.lang.Object[]>,long,long,long]",unixTime,1
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"araTarihPDF/4[java.util.ArrayList<java.lang.Object[]>,long,long,long]",min,1
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"araTarihPDF/4[java.util.ArrayList<java.lang.Object[]>,long,long,long]",max,1
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"araTarihPDF/4[java.util.ArrayList<java.lang.Object[]>,long,long,long]",araTarihListesi,1
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"araTarihPDF/4[java.util.ArrayList<java.lang.Object[]>,long,long,long]",obj,6
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"araTarihPDF/4[java.util.ArrayList<java.lang.Object[]>,long,long,long]",tarihArama,5
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"araUreticiPDF/4[java.util.ArrayList<java.lang.Object[]>,long,java.lang.String,java.lang.String]",unixTime,1
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"araUreticiPDF/4[java.util.ArrayList<java.lang.Object[]>,long,java.lang.String,java.lang.String]",uretici,1
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"araUreticiPDF/4[java.util.ArrayList<java.lang.Object[]>,long,java.lang.String,java.lang.String]",toplamKoli,1
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"araUreticiPDF/4[java.util.ArrayList<java.lang.Object[]>,long,java.lang.String,java.lang.String]",araUreticiListesi,1
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"araUreticiPDF/4[java.util.ArrayList<java.lang.Object[]>,long,java.lang.String,java.lang.String]",obj,4
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"araUreticiPDF/4[java.util.ArrayList<java.lang.Object[]>,long,java.lang.String,java.lang.String]",ureticiArama,5
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,bufferKolilerILK/1[java.lang.String],baslik,1
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,bufferUrunlerILK/1[java.lang.String],baslik,1
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"araMagazaPDF/4[java.util.ArrayList<java.lang.Object[]>,long,java.lang.String,java.lang.String]",magaza,1
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"araMagazaPDF/4[java.util.ArrayList<java.lang.Object[]>,long,java.lang.String,java.lang.String]",unixTime,1
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"araMagazaPDF/4[java.util.ArrayList<java.lang.Object[]>,long,java.lang.String,java.lang.String]",toplamKoli,1
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"araMagazaPDF/4[java.util.ArrayList<java.lang.Object[]>,long,java.lang.String,java.lang.String]",obj,4
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"araMagazaPDF/4[java.util.ArrayList<java.lang.Object[]>,long,java.lang.String,java.lang.String]",magazaArama,5
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"araMagazaPDF/4[java.util.ArrayList<java.lang.Object[]>,long,java.lang.String,java.lang.String]",araMagazaListesi,1
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"istatistiklerPDF/2[long,java.lang.Object[][]]",unixTime,1
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"istatistiklerPDF/2[long,java.lang.Object[][]]",size,0
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"istatistiklerPDF/2[long,java.lang.Object[][]]",obj,2
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"istatistiklerPDF/2[long,java.lang.Object[][]]",istatistikler,2
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"istatistiklerPDF/2[long,java.lang.Object[][]]",istatistik,4
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"araUrunPDF/3[java.util.ArrayList<java.lang.Object[]>,long,java.lang.String]",urun,1
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"araUrunPDF/3[java.util.ArrayList<java.lang.Object[]>,long,java.lang.String]",unixTime,1
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"araUrunPDF/3[java.util.ArrayList<java.lang.Object[]>,long,java.lang.String]",obj,4
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"araUrunPDF/3[java.util.ArrayList<java.lang.Object[]>,long,java.lang.String]",araUrunListesi,2
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"araUrunPDF/3[java.util.ArrayList<java.lang.Object[]>,long,java.lang.String]",urunArama,5
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"bufferUrunler/2[java.lang.String,int]",urun,1
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"bufferUrunler/2[java.lang.String,int]",adet,1
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,bufferUrunlerSON/1[int],toplam,1
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Siniflar/PDFCikti.java,Siniflar.PDFCikti,"bufferKoliler/5[java.lang.String,int,int,int,int]",urun,1
