file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/Mac/Downloads/HospitalManagementSystem-master/Hospital Managment System/src/Doctors/viewDoctor.java,Doctors.viewDoctor$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
/Users/Mac/Downloads/HospitalManagementSystem-master/Hospital Managment System/src/Doctors/viewDoctor.java,Doctors.viewDoctor$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
/Users/Mac/Downloads/HospitalManagementSystem-master/Hospital Managment System/src/Doctors/viewDoctor.java,Doctors.viewDoctor$Anonymous4,anonymous,1,1,0,1,1,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
/Users/Mac/Downloads/HospitalManagementSystem-master/Hospital Managment System/src/Doctors/viewDoctor.java,Doctors.viewDoctor$Anonymous3,anonymous,1,1,0,1,1,1,0,0,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,7,-1,0
/Users/Mac/Downloads/HospitalManagementSystem-master/Hospital Managment System/src/Receptionists/searchReceptionist.java,Receptionists.searchReceptionist$Anonymous6,anonymous,1,1,0,1,1,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
/Users/Mac/Downloads/HospitalManagementSystem-master/Hospital Managment System/src/Receptionists/searchReceptionist.java,Receptionists.searchReceptionist$Anonymous5,anonymous,1,1,0,1,1,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
/Users/Mac/Downloads/HospitalManagementSystem-master/Hospital Managment System/src/Receptionists/searchReceptionist.java,Receptionists.searchReceptionist$Anonymous4,anonymous,1,1,0,1,1,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
/Users/Mac/Downloads/HospitalManagementSystem-master/Hospital Managment System/src/Main/Doctor.java,Main.Doctor$Anonymous3,anonymous,1,1,0,1,1,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
/Users/Mac/Downloads/HospitalManagementSystem-master/Hospital Managment System/src/Receptionists/searchReceptionist.java,Receptionists.searchReceptionist$Anonymous3,anonymous,1,1,0,1,1,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
/Users/Mac/Downloads/HospitalManagementSystem-master/Hospital Managment System/src/Main/Doctor.java,Main.Doctor$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
/Users/Mac/Downloads/HospitalManagementSystem-master/Hospital Managment System/src/Receptionists/searchReceptionist.java,Receptionists.searchReceptionist$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
