file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/Mac/Downloads/J-A-Bank-Management-System-main/Bank_Management_System/src/Login.java,Login$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
/Users/Mac/Downloads/J-A-Bank-Management-System-main/Bank_Management_System/src/MyPage.java,MyPage,class,2,22,20,2,69,6,0,78,85,0.9504714,0.53571427,0.53571427,26,1,8,18,0,0,8,0,0,0,139,0,0,136,0,3,0,0,68,1113,0,2,0,31,1,248,391,251,12,229,3,18,0,0,268,1,0
/Users/Mac/Downloads/J-A-Bank-Management-System-main/Bank_Management_System/src/Loading.java,Loading,class,2,5,3,2,16,6,0,47,8,0.7777779,0.1,0.1,5,1,4,1,0,0,5,0,0,0,9,0,0,6,0,3,0,0,10,112,0,2,0,3,0,8,42,16,2,15,3,1,0,0,94,1,0
/Users/Mac/Downloads/J-A-Bank-Management-System-main/Bank_Management_System/src/NewAccount.java,NewAccount,class,5,11,6,5,20,6,0,72,39,0.88999987,0.2,0.4,10,1,6,4,0,0,6,0,0,0,40,0,0,37,0,3,0,0,13,273,0,1,0,5,1,64,106,50,6,50,3,4,0,0,165,1,0
/Users/Mac/Downloads/J-A-Bank-Management-System-main/Bank_Management_System/src/javaconnect.java,javaconnect,class,0,3,3,0,2,1,0,3,0,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,3,14,2,0,0,1,0,2,0,2,0,2,1,0,0,0,9,1,0
/Users/Mac/Downloads/J-A-Bank-Management-System-main/Bank_Management_System/src/MyPage.java,MyPage$Anonymous3,anonymous,1,1,0,1,1,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
/Users/Mac/Downloads/J-A-Bank-Management-System-main/Bank_Management_System/src/Loading.java,Loading$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
/Users/Mac/Downloads/J-A-Bank-Management-System-main/Bank_Management_System/src/MyPage.java,MyPage$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
/Users/Mac/Downloads/J-A-Bank-Management-System-main/Bank_Management_System/src/MyPage.java,MyPage$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
/Users/Mac/Downloads/J-A-Bank-Management-System-main/Bank_Management_System/src/Login.java,Login,class,4,9,5,4,13,6,0,52,8,0.78571445,0,0,5,1,2,3,0,0,2,0,0,0,14,0,0,11,0,3,0,0,12,134,0,1,0,3,0,19,36,19,0,19,2,3,0,0,98,1,0
/Users/Mac/Downloads/J-A-Bank-Management-System-main/Bank_Management_System/src/NewAccount.java,NewAccount$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
/Users/Mac/Downloads/J-A-Bank-Management-System-main/Bank_Management_System/src/NewAccount.java,NewAccount$Anonymous3,anonymous,1,1,0,1,1,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
/Users/Mac/Downloads/J-A-Bank-Management-System-main/Bank_Management_System/src/MyPage.java,MyPage$Anonymous9,anonymous,1,1,0,1,1,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
/Users/Mac/Downloads/J-A-Bank-Management-System-main/Bank_Management_System/src/NewAccount.java,NewAccount$Anonymous4,anonymous,1,1,0,1,1,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
/Users/Mac/Downloads/J-A-Bank-Management-System-main/Bank_Management_System/src/MyPage.java,MyPage$Anonymous8,anonymous,1,1,0,1,1,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
