file,class,method,variable,usage
/Users/Mac/Downloads/Shop-Management-System-master/activity/ManageCustomer.java,activity.ManageCustomer,"ManageCustomer/2[java.lang.String,activity.ViewCustomerActivity]",buttonEdit,7
/Users/Mac/Downloads/Shop-Management-System-master/activity/ManageCustomer.java,activity.ManageCustomer,"ManageCustomer/2[java.lang.String,activity.ViewCustomerActivity]",addressTF,4
/Users/Mac/Downloads/Shop-Management-System-master/activity/ManageCustomer.java,activity.ManageCustomer,"ManageCustomer/2[java.lang.String,activity.ViewCustomerActivity]",prev,3
/Users/Mac/Downloads/Shop-Management-System-master/activity/ManageCustomer.java,activity.ManageCustomer,"ManageCustomer/2[java.lang.String,activity.ViewCustomerActivity]",customerNameTF,4
/Users/Mac/Downloads/Shop-Management-System-master/activity/ManageCustomer.java,activity.ManageCustomer,"ManageCustomer/2[java.lang.String,activity.ViewCustomerActivity]",phoneCodeTF,5
/Users/Mac/Downloads/Shop-Management-System-master/activity/ManageCustomer.java,activity.ManageCustomer,"ManageCustomer/2[java.lang.String,activity.ViewCustomerActivity]",phoneNumberLabel,4
/Users/Mac/Downloads/Shop-Management-System-master/activity/ManageCustomer.java,activity.ManageCustomer,"ManageCustomer/2[java.lang.String,activity.ViewCustomerActivity]",addressLabel,4
/Users/Mac/Downloads/Shop-Management-System-master/activity/ManageCustomer.java,activity.ManageCustomer,"ManageCustomer/2[java.lang.String,activity.ViewCustomerActivity]",phoneNumberTF,4
/Users/Mac/Downloads/Shop-Management-System-master/activity/ManageCustomer.java,activity.ManageCustomer,"ManageCustomer/2[java.lang.String,activity.ViewCustomerActivity]",buttonDelete,7
/Users/Mac/Downloads/Shop-Management-System-master/activity/ManageCustomer.java,activity.ManageCustomer,"ManageCustomer/2[java.lang.String,activity.ViewCustomerActivity]",panel,14
/Users/Mac/Downloads/Shop-Management-System-master/activity/ManageCustomer.java,activity.ManageCustomer,"ManageCustomer/2[java.lang.String,activity.ViewCustomerActivity]",customerNameLabel,4
/Users/Mac/Downloads/Shop-Management-System-master/activity/ManageCustomer.java,activity.ManageCustomer,"ManageCustomer/2[java.lang.String,activity.ViewCustomerActivity]",customer,6
/Users/Mac/Downloads/Shop-Management-System-master/activity/ManageCustomer.java,activity.ManageCustomer,"ManageCustomer/2[java.lang.String,activity.ViewCustomerActivity]",userIdLabel,4
