file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/Mac/Downloads/Shop-Management-System-master/Start.java,Start,main/1[java.lang.String[]],FALSE,5,1,1,0,1,1,1,4,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,9,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/activity/ManageCustomer.java,activity.ManageCustomer,"ManageCustomer/2[java.lang.String,activity.ViewCustomerActivity]",TRUE,17,3,7,1,6,1,18,60,0,0,2,18,0,0,0,0,0,0,10,41,13,3,0,0,0,0,26,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/activity/ManageCustomer.java,activity.ManageCustomer,actionPerformed/1[java.awt.event.ActionEvent],FALSE,93,1,3,0,3,6,14,21,0,0,1,14,0,0,0,0,1,0,5,0,0,0,3,0,0,0,14,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/User.java,attr.User,User/1[java.lang.String],TRUE,14,0,0,0,0,2,1,4,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,8,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/User.java,attr.User,setStatus/1[int],FALSE,26,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/User.java,attr.User,getUserId/0,FALSE,23,0,6,6,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/User.java,attr.User,setPassword/1[java.lang.String],FALSE,29,0,2,2,0,2,1,4,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,8,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/User.java,attr.User,fetch/0,FALSE,21,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1025,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/User.java,attr.User,"checkStatus/2[java.lang.String,java.lang.String]",FALSE,36,0,1,1,0,9,14,40,1,8,2,14,0,0,1,3,2,0,10,1,12,1,3,0,0,0,24,9,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/User.java,attr.User,"changePassword/3[activity.ChangePasswordActivity,java.lang.String,java.lang.String]",FALSE,83,1,1,1,0,6,10,34,0,4,3,10,0,0,0,2,2,0,12,1,6,2,3,0,0,0,28,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/activity/SignupActivity.java,activity.SignupActivity,actionPerformed/1[java.awt.event.ActionEvent],FALSE,128,3,7,0,7,6,15,25,0,1,1,15,0,0,0,0,1,0,1,1,1,0,3,0,0,0,24,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/activity/SignupActivity.java,activity.SignupActivity,SignupActivity/0,TRUE,17,0,1,1,0,1,16,91,0,0,0,16,0,0,0,0,0,0,11,65,17,2,0,0,0,0,30,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/activity/ViewProductActivity.java,activity.ViewProductActivity$Anonymous2,mouseClicked/1[java.awt.event.MouseEvent],FALSE,182,1,3,0,3,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/activity/ViewProductActivity.java,activity.ViewProductActivity$Anonymous1,mouseClicked/1[java.awt.event.MouseEvent],FALSE,89,1,3,0,3,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/activity/CustomerActivity.java,activity.CustomerActivity,actionPerformed/1[java.awt.event.ActionEvent],FALSE,80,4,4,0,4,5,3,20,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/activity/CustomerActivity.java,activity.CustomerActivity,CustomerActivity/1[java.lang.String],TRUE,16,1,3,1,2,1,15,53,0,0,1,15,0,0,0,0,0,0,6,27,8,5,0,0,0,0,23,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/activity/ManageProduct.java,activity.ManageProduct,actionPerformed/1[java.awt.event.ActionEvent],FALSE,116,1,5,0,5,10,21,43,0,0,1,21,0,0,0,0,2,0,9,0,0,1,3,0,0,0,17,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/activity/ManageProduct.java,activity.ManageProduct,"ManageProduct/2[java.lang.String,activity.ViewProductActivity]",TRUE,17,2,6,1,5,1,17,81,0,0,2,17,0,0,0,0,0,0,13,50,16,2,0,0,0,0,26,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/activity/ManageEmployee.java,activity.ManageEmployee,actionPerformed/1[java.awt.event.ActionEvent],FALSE,105,1,3,0,3,6,15,21,0,0,1,15,0,0,0,0,1,0,5,0,0,0,3,0,0,0,14,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/activity/ManageEmployee.java,activity.ManageEmployee,"ManageEmployee/2[java.lang.String,activity.ViewEmployeeActivity]",TRUE,18,3,8,1,7,2,21,69,0,0,2,21,0,0,0,0,0,0,12,51,15,3,0,0,0,0,31,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/activity/ViewProductActivity.java,activity.ViewProductActivity,actionPerformed/1[java.awt.event.ActionEvent],FALSE,201,3,3,0,3,5,9,19,0,0,1,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/activity/ViewProductActivity.java,activity.ViewProductActivity,"ViewProductActivity/2[javax.swing.JFrame,attr.Customer]",TRUE,23,2,3,1,2,1,18,72,0,1,2,18,0,0,0,0,0,0,10,36,14,2,0,1,0,0,50,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/activity/ViewProductActivity.java,activity.ViewProductActivity,jTable_ClickMouseClicked/1[java.awt.event.MouseEvent],FALSE,220,1,2,1,1,3,5,10,0,3,1,5,0,0,0,2,0,0,0,1,3,0,2,0,0,0,18,2,0,FALSE
