file,class,method,variable,usage
/Users/Mac/Downloads/Shop-Management-System-master/Start.java,Start,main/1[java.lang.String[]],args,0
/Users/Mac/Downloads/Shop-Management-System-master/Start.java,Start,main/1[java.lang.String[]],la,1
/Users/Mac/Downloads/Shop-Management-System-master/activity/ManageCustomer.java,activity.ManageCustomer,"ManageCustomer/2[java.lang.String,activity.ViewCustomerActivity]",prev,2
/Users/Mac/Downloads/Shop-Management-System-master/activity/ManageCustomer.java,activity.ManageCustomer,"ManageCustomer/2[java.lang.String,activity.ViewCustomerActivity]",cid,1
/Users/Mac/Downloads/Shop-Management-System-master/activity/ManageCustomer.java,activity.ManageCustomer,actionPerformed/1[java.awt.event.ActionEvent],ae,2
/Users/Mac/Downloads/Shop-Management-System-master/activity/ManageCustomer.java,activity.ManageCustomer,actionPerformed/1[java.awt.event.ActionEvent],e,0
/Users/Mac/Downloads/Shop-Management-System-master/attr/User.java,attr.User,User/1[java.lang.String],userId,3
/Users/Mac/Downloads/Shop-Management-System-master/attr/User.java,attr.User,setStatus/1[int],stts,1
/Users/Mac/Downloads/Shop-Management-System-master/attr/User.java,attr.User,setPassword/1[java.lang.String],passwd,2
/Users/Mac/Downloads/Shop-Management-System-master/attr/User.java,attr.User,"checkStatus/2[java.lang.String,java.lang.String]",result,2
/Users/Mac/Downloads/Shop-Management-System-master/attr/User.java,attr.User,"checkStatus/2[java.lang.String,java.lang.String]",uid,1
/Users/Mac/Downloads/Shop-Management-System-master/attr/User.java,attr.User,"checkStatus/2[java.lang.String,java.lang.String]",st,4
/Users/Mac/Downloads/Shop-Management-System-master/attr/User.java,attr.User,"checkStatus/2[java.lang.String,java.lang.String]",rs,7
/Users/Mac/Downloads/Shop-Management-System-master/attr/User.java,attr.User,"checkStatus/2[java.lang.String,java.lang.String]",password,1
/Users/Mac/Downloads/Shop-Management-System-master/attr/User.java,attr.User,"checkStatus/2[java.lang.String,java.lang.String]",con,4
/Users/Mac/Downloads/Shop-Management-System-master/attr/User.java,attr.User,"checkStatus/2[java.lang.String,java.lang.String]",ex,3
/Users/Mac/Downloads/Shop-Management-System-master/attr/User.java,attr.User,"checkStatus/2[java.lang.String,java.lang.String]",pass,1
/Users/Mac/Downloads/Shop-Management-System-master/attr/User.java,attr.User,"checkStatus/2[java.lang.String,java.lang.String]",query,2
/Users/Mac/Downloads/Shop-Management-System-master/attr/User.java,attr.User,"checkStatus/2[java.lang.String,java.lang.String]",userId,1
/Users/Mac/Downloads/Shop-Management-System-master/attr/User.java,attr.User,"checkStatus/2[java.lang.String,java.lang.String]",status,1
/Users/Mac/Downloads/Shop-Management-System-master/attr/User.java,attr.User,"changePassword/3[activity.ChangePasswordActivity,java.lang.String,java.lang.String]",a,1
/Users/Mac/Downloads/Shop-Management-System-master/attr/User.java,attr.User,"changePassword/3[activity.ChangePasswordActivity,java.lang.String,java.lang.String]",st,4
/Users/Mac/Downloads/Shop-Management-System-master/attr/User.java,attr.User,"changePassword/3[activity.ChangePasswordActivity,java.lang.String,java.lang.String]",res,1
/Users/Mac/Downloads/Shop-Management-System-master/attr/User.java,attr.User,"changePassword/3[activity.ChangePasswordActivity,java.lang.String,java.lang.String]",con,4
/Users/Mac/Downloads/Shop-Management-System-master/attr/User.java,attr.User,"changePassword/3[activity.ChangePasswordActivity,java.lang.String,java.lang.String]",ex,2
/Users/Mac/Downloads/Shop-Management-System-master/attr/User.java,attr.User,"changePassword/3[activity.ChangePasswordActivity,java.lang.String,java.lang.String]",query,2
/Users/Mac/Downloads/Shop-Management-System-master/attr/User.java,attr.User,"changePassword/3[activity.ChangePasswordActivity,java.lang.String,java.lang.String]",newPass,1
/Users/Mac/Downloads/Shop-Management-System-master/attr/User.java,attr.User,"changePassword/3[activity.ChangePasswordActivity,java.lang.String,java.lang.String]",oldPass,1
/Users/Mac/Downloads/Shop-Management-System-master/activity/SignupActivity.java,activity.SignupActivity,actionPerformed/1[java.awt.event.ActionEvent],c,5
/Users/Mac/Downloads/Shop-Management-System-master/activity/SignupActivity.java,activity.SignupActivity,actionPerformed/1[java.awt.event.ActionEvent],ae,3
/Users/Mac/Downloads/Shop-Management-System-master/activity/SignupActivity.java,activity.SignupActivity,actionPerformed/1[java.awt.event.ActionEvent],e,2
/Users/Mac/Downloads/Shop-Management-System-master/activity/ViewProductActivity.java,activity.ViewProductActivity$Anonymous2,mouseClicked/1[java.awt.event.MouseEvent],evt,1
/Users/Mac/Downloads/Shop-Management-System-master/activity/ViewProductActivity.java,activity.ViewProductActivity$Anonymous1,mouseClicked/1[java.awt.event.MouseEvent],evt,1
/Users/Mac/Downloads/Shop-Management-System-master/activity/CustomerActivity.java,activity.CustomerActivity,actionPerformed/1[java.awt.event.ActionEvent],ae,4
/Users/Mac/Downloads/Shop-Management-System-master/activity/CustomerActivity.java,activity.CustomerActivity,CustomerActivity/1[java.lang.String],userId,3
