file,class,method,variable,usage
/Users/Mac/Downloads/SuperMarketManagementSystem-main/src/supermarket/Start.java,supermarket.Start,initComponents/0,jLabel3,4
/Users/Mac/Downloads/SuperMarketManagementSystem-main/src/supermarket/Start.java,supermarket.Start,initComponents/0,jLabel2,6
/Users/Mac/Downloads/SuperMarketManagementSystem-main/src/supermarket/Start.java,supermarket.Start,initComponents/0,jPanel1,6
/Users/Mac/Downloads/SuperMarketManagementSystem-main/src/supermarket/Start.java,supermarket.Start,initComponents/0,Percentage,7
/Users/Mac/Downloads/SuperMarketManagementSystem-main/src/supermarket/Start.java,supermarket.Start,initComponents/0,ProgressBar,4
/Users/Mac/Downloads/SuperMarketManagementSystem-main/src/supermarket/Start.java,supermarket.Start,initComponents/0,jLabel1,3
/Users/Mac/Downloads/SuperMarketManagementSystem-main/src/supermarket/ProductManager.java,supermarket.ProductManager,setCat/1[java.lang.String],cat,3
/Users/Mac/Downloads/SuperMarketManagementSystem-main/src/supermarket/ProductManager.java,supermarket.ProductManager,setQty/1[java.lang.String],qty,3
/Users/Mac/Downloads/SuperMarketManagementSystem-main/src/supermarket/ProductManager.java,supermarket.ProductManager,setPrice/1[java.lang.String],price,3
/Users/Mac/Downloads/SuperMarketManagementSystem-main/src/supermarket/ProductManager.java,supermarket.ProductManager,setName/1[java.lang.String],name,3
/Users/Mac/Downloads/SuperMarketManagementSystem-main/src/supermarket/ProductManager.java,supermarket.ProductManager,getPrice/0,price,1
/Users/Mac/Downloads/SuperMarketManagementSystem-main/src/supermarket/ProductManager.java,supermarket.ProductManager,setId/1[java.lang.String],id,3
/Users/Mac/Downloads/SuperMarketManagementSystem-main/src/supermarket/ProductManager.java,supermarket.ProductManager,getName/0,name,1
/Users/Mac/Downloads/SuperMarketManagementSystem-main/src/supermarket/ProductManager.java,supermarket.ProductManager,getQty/0,qty,1
/Users/Mac/Downloads/SuperMarketManagementSystem-main/src/supermarket/ProductManager.java,supermarket.ProductManager,"ProductManager/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",price,3
/Users/Mac/Downloads/SuperMarketManagementSystem-main/src/supermarket/ProductManager.java,supermarket.ProductManager,"ProductManager/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",qty,3
/Users/Mac/Downloads/SuperMarketManagementSystem-main/src/supermarket/ProductManager.java,supermarket.ProductManager,"ProductManager/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",cat,3
